abv,ibu,id,name,style,brewery_id,ounces,brewery_idbrewery_,namebrewery_,city,state
0.052,40,26,Black Noddy Lager (Current),Schwarzbier,530,16,530,Buckbean Brewing Company,Reno, NV
0.06,40,2125,1836,American Blonde Ale,214,12,214,Buffalo Bayou Brewing Company,Houston, TX
0.06,20,2124,Summer's Wit,Witbier,214,12,214,Buffalo Bayou Brewing Company,Houston, TX
0.09,118,2123,More Cowbell,American Double / Imperial IPA,214,16,214,Buffalo Bayou Brewing Company,Houston, TX
0.055,40,2478,Pale Alement,American Pale Ale (APA),24,12,24,Burn 'Em Brewing,Michigan City, IN
0.099,115,2471,Hopkick Dropkick,American Double / Imperial IPA,24,12,24,Burn 'Em Brewing,Michigan City, IN
0.068,16,2160,Joey Wheat,American Pale Wheat Ale,24,16,24,Burn 'Em Brewing,Michigan City, IN
0.072,86,2158,3:33 Black IPA,American IPA,24,16,24,Burn 'Em Brewing,Michigan City, IN
0.055,40,2054,Pale Alement,American Pale Ale (APA),24,16,24,Burn 'Em Brewing,Michigan City, IN
0.05,14,2196,Couch Select Lager,American Pale Lager,197,12,197,Burnside Brewing Co.,Portland, OR
0.056,36,668,Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),517,12,517,Butcher's Brewing,Carlsbad, CA
0.053,25,2214,Horny Toad Cerveza,American Blonde Ale,182,16,182,COOP Ale Works,Oklahoma City, OK
0.063,35,2213,Native Amber,American Amber / Red Ale,182,16,182,COOP Ale Works,Oklahoma City, OK
0.068,100,1442,F5 IPA,American IPA,182,16,182,COOP Ale Works,Oklahoma City, OK
0.063,35,170,Native Amber (2013),American Amber / Red Ale,182,16,182,COOP Ale Works,Oklahoma City, OK
0.053,25,169,Horny Toad Cerveza (2013),American Blonde Ale,182,16,182,COOP Ale Works,Oklahoma City, OK
0.068,100,2315,Hopportunity Knocks IPA,American IPA,155,12,155,Caldera Brewing Company,Ashland, OR
0.056,55,1419,Caldera Pale Ale,American Pale Ale (APA),155,12,155,Caldera Brewing Company,Ashland, OR
0.039,16,878,Lawnmower Lager,American Adjunct Lager,155,12,155,Caldera Brewing Company,Ashland, OR
0.054,24,794,Ashland Amber Ale (2009),American Amber / Red Ale,155,12,155,Caldera Brewing Company,Ashland, OR
0.061,94,793,Caldera IPA (2009),American IPA,155,12,155,Caldera Brewing Company,Ashland, OR
0.061,94,792,Caldera IPA (2007),American IPA,155,12,155,Caldera Brewing Company,Ashland, OR
0.056,55,791,Caldera Pale Ale (2010),American Pale Ale (APA),155,12,155,Caldera Brewing Company,Ashland, OR
0.056,55,790,Caldera Pale Ale (2009),American Pale Ale (APA),155,12,155,Caldera Brewing Company,Ashland, OR
